
2024/08/21 (14:39:52) | ===> btop++ v.1.3.2
2024/08/21 (14:39:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (14:46:50) | ===> btop++ v.1.3.2
2024/08/21 (14:46:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (14:59:22) | ===> btop++ v.1.3.2
2024/08/21 (14:59:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (15:00:49) | ===> btop++ v.1.3.2
2024/08/21 (15:00:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (15:08:11) | ===> btop++ v.1.3.2
2024/08/21 (15:08:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (15:08:52) | ===> btop++ v.1.3.2
2024/08/21 (15:08:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (15:58:37) | ===> btop++ v.1.3.2
2024/08/21 (15:58:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (16:00:55) | ===> btop++ v.1.3.2
2024/08/21 (16:00:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (16:04:52) | ===> btop++ v.1.3.2
2024/08/21 (16:04:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (16:05:30) | ===> btop++ v.1.3.2
2024/08/21 (16:05:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (16:06:25) | ===> btop++ v.1.3.2
2024/08/21 (16:06:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (16:06:32) | ===> btop++ v.1.3.2
2024/08/21 (16:06:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (16:09:49) | ===> btop++ v.1.3.2
2024/08/21 (16:09:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (16:10:20) | ===> btop++ v.1.3.2
2024/08/21 (16:10:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (16:38:26) | ===> btop++ v.1.3.2
2024/08/21 (16:38:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/21 (16:44:16) | ===> btop++ v.1.3.2
2024/08/21 (16:44:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
